starting_date,duration,snow,floods,storm,hurricane,rain,cold,hot,comment
2019-01-20,15.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"Succession d'épisodes hivernaux, tempête Gabriel. "
2018-10-15,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Episode méditerranéen mémorable
2018-07-30,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Canicule été 2018 suivie d'une dégradation orageuse marquée
2018-02-05,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Episode hivernal 05 Janvier - 10 Janvier 2018 
2018-01-02,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Tempête Eleanor
2017-12-31,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Tempête Carmen
2017-12-10,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,Bref épisode neigeux suivi d'une tempête
2017-11-28,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Premier épisode hivernal
2017-09-18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"Cyclone Maria, catégorie 5"
2017-09-05,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Cyclone Irma
2017-06-12,13.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,FORTES CHALEURS ET QUELQUES ORAGES
2017-03-03,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,Succession de coups de vent avec orages et neige à basse altitude
2017-02-01,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Série de tempêtes hivernales
2017-01-12,16.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Coup de vent puis épisode hivernal sévère
2016-11-19,6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Episode durable de vents forts et de fortes pluies
2016-10-11,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Épisode méditerranéen intense
2016-09-12,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,FORT EPISODE PLUVIO-ORAGEUX DANS LE SUD-OUEST
2016-03-27,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"Tempête ""Jeanne"""
2016-02-26,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,Épisode méditerranéen et coup de vent
2016-01-15,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Episode hivernal avec neige en plaine
2015-11-01,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Bref épisode pluvieux intense
2015-10-11,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bref épisode de fortes pluies
